,Years,Months,Districts,Amounts_(m3)
576,2021,5,Bahcelievler,7548134.278
577,2021,6,Bahcelievler,6636480.538
578,2021,7,Bahcelievler,4946256.219
579,2021,8,Bahcelievler,5282617.143
580,2021,9,Bahcelievler,6048061.054
581,2021,10,Bahcelievler,10902937.346
582,2021,11,Bahcelievler,19519078.401
583,2021,12,Bahcelievler,31956446.131
584,2022,1,Bahcelievler,40563061.103
585,2022,2,Bahcelievler,33720829.498
586,2022,3,Bahcelievler,41136123.643
587,2022,4,Bahcelievler,16364031.968
588,2022,5,Bahcelievler,9197930.007
589,2022,6,Bahcelievler,5804186.989
590,2022,7,Bahcelievler,4808151.006
591,2022,8,Bahcelievler,5123383.189
592,2022,9,Bahcelievler,5580083.553
593,2022,10,Bahcelievler,7992089.993
594,2022,11,Bahcelievler,14080384.339
595,2022,12,Bahcelievler,25605180.141
596,2023,1,Bahcelievler,29629176.051
597,2023,2,Bahcelievler,34086201.812
598,2023,3,Bahcelievler,28319052.136
599,2023,4,Bahcelievler,16722461.528
600,2015,1,Bakirkoy,32062785.307
601,2015,2,Bakirkoy,27720591.258
602,2015,3,Bakirkoy,26902872.587
603,2015,4,Bakirkoy,18585993.611
604,2015,5,Bakirkoy,8412055.849
605,2015,6,Bakirkoy,6611049.762
606,2015,7,Bakirkoy,6358343.383
607,2015,8,Bakirkoy,6124931.724
608,2015,9,Bakirkoy,6345954.376
609,2015,10,Bakirkoy,10073754.647
610,2015,11,Bakirkoy,15888328.788
611,2015,12,Bakirkoy,26579529.009
612,2016,1,Bakirkoy,31853641.184
613,2016,2,Bakirkoy,23582925.513
614,2016,3,Bakirkoy,23493849.776
615,2016,4,Bakirkoy,11714289.18
616,2016,5,Bakirkoy,9666011.18
617,2016,6,Bakirkoy,7026212.729
618,2016,7,Bakirkoy,6761245.817
619,2016,8,Bakirkoy,6807812.339
620,2016,9,Bakirkoy,6995609.091
621,2016,10,Bakirkoy,9766042.538
622,2016,11,Bakirkoy,20194639.426
623,2016,12,Bakirkoy,32147023.247
624,2017,1,Bakirkoy,37388773.482
625,2017,2,Bakirkoy,29093425.853
626,2017,3,Bakirkoy,24322018.974
627,2017,4,Bakirkoy,16199854.015
628,2017,5,Bakirkoy,8427136.288
629,2017,6,Bakirkoy,6042151.121
630,2017,7,Bakirkoy,6239381.008
631,2017,8,Bakirkoy,6271973.271
632,2017,9,Bakirkoy,6531803.092
633,2017,10,Bakirkoy,10906658.501
634,2017,11,Bakirkoy,19793791.131
635,2017,12,Bakirkoy,23380952.112
636,2018,1,Bakirkoy,32600531.339
637,2018,2,Bakirkoy,26837537.838
638,2018,3,Bakirkoy,26237860.607
639,2018,4,Bakirkoy,14030055.196
640,2018,5,Bakirkoy,8611292.153
641,2018,6,Bakirkoy,6195097.584
642,2018,7,Bakirkoy,6237755.883
643,2018,8,Bakirkoy,6077544.75
644,2018,9,Bakirkoy,6503460.501
645,2018,10,Bakirkoy,9203628.389
646,2018,11,Bakirkoy,17922849.135
647,2018,12,Bakirkoy,31235977.662
648,2019,1,Bakirkoy,34151360.773
649,2019,2,Bakirkoy,27967949.633
650,2019,3,Bakirkoy,25871696.21
651,2019,4,Bakirkoy,17128648.937
652,2019,5,Bakirkoy,7292251.276
653,2019,6,Bakirkoy,4947981.526
654,2019,7,Bakirkoy,5083134.175
655,2019,8,Bakirkoy,5265685.063
656,2019,9,Bakirkoy,5578563.107
657,2019,10,Bakirkoy,6671625.871
658,2019,11,Bakirkoy,10483911.014
659,2019,12,Bakirkoy,23739108.702
660,2020,1,Bakirkoy,31302746.198
661,2020,2,Bakirkoy,26822545.529
662,2020,3,Bakirkoy,22887058.132
663,2020,4,Bakirkoy,16542765.438
664,2020,5,Bakirkoy,7784767.422
665,2020,6,Bakirkoy,5597607.523
666,2020,7,Bakirkoy,4974654.255
667,2020,8,Bakirkoy,5212450.784
668,2020,9,Bakirkoy,5568286.184
669,2020,10,Bakirkoy,6819649.884
670,2020,11,Bakirkoy,17564279.654
671,2020,12,Bakirkoy,22584721.366
672,2021,1,Bakirkoy,26327879.508
673,2021,2,Bakirkoy,25181241.988
674,2021,3,Bakirkoy,28503869.384
675,2021,4,Bakirkoy,18963698.952
676,2021,5,Bakirkoy,7390327.678
677,2021,6,Bakirkoy,6242597.235
678,2021,7,Bakirkoy,5781225.959
679,2021,8,Bakirkoy,5574517.703
680,2021,9,Bakirkoy,4338974.186
681,2021,10,Bakirkoy,8929985.371
682,2021,11,Bakirkoy,16808790.147
683,2021,12,Bakirkoy,25212172.176
684,2022,1,Bakirkoy,31598369.167
685,2022,2,Bakirkoy,26656317.368
686,2022,3,Bakirkoy,31607905.568
687,2022,4,Bakirkoy,13513497.609
688,2022,5,Bakirkoy,7350256.279
689,2022,6,Bakirkoy,4175996.983
690,2022,7,Bakirkoy,3846628.755
691,2022,8,Bakirkoy,3893843.204
692,2022,9,Bakirkoy,4174393.264
693,2022,10,Bakirkoy,6543037.065
694,2022,11,Bakirkoy,12356153.138
695,2022,12,Bakirkoy,20101273.227
696,2023,1,Bakirkoy,23142551.908
697,2023,2,Bakirkoy,26317542.429
698,2023,3,Bakirkoy,21859779.787
